"codiceCorrispondenteAcq","codiceEsercenteAccettazione","insegnaPuntoVendita","co_sicc"
"449215","174030076999","WWW.REPRESENT.COM","5691"
"449215","174030076999","SOI DOG*DONATE 000000","8398"
"449215","174030076999","PAYPAL *DORANELLA","5699"
"449215","174030076999","HEROKU *FEB-24775248","7372"
"449215","174030076999","HEROKU *FEB-24617764","7372"
"449215","174030076999","WWWUCRAFTCOM*LOGO","5045"
"449215","174030076999","PAYPAL *4NOGGINSCOM WWW","5993"
"449215","174030076999","PAYPAL *POLOLU.COM","5732"
"449215","174030076999","CODECADEMY","8299"
"449215","174030076999","BEHAVIOR ANALYST CERTIFIC","8398"
"449215","174030076999","PAYPAL *SUMMERSCIEN","7299"
"00000001297","174030076999","SEVIER RIVER RANCH & C","7299"
"00000001297","174030076999","BUS  INSIDER*BI PRIME","5045"
"449215","174030076999","GAPPS EXPERTS INC","5045"
"449215","174030076999","PAYPAL *ELEG THEMES","4816"
"00000001297","174030076999","STRENGTHNET","7829"
"449215","174030076999","PAYPAL *TOUCHUPDIRE","5533"
"449215","174030076999","DEPUTY.COM","5045"
"00000001297","174030076999","HEROKU *FEB-24582278","7372"
"00000001297","174030076999","PAYPAL *PATREON  MEMBE","7929"
"449215","174030076999","ITSEEZ3D, INC","5045"
"449215","174030076999","PAYPAL *OCSSOLUTION","4816"
"449215","174030076999","HEROKU *FEB-24412096","7372"
"449215","174030076999","BOWLING.COM","5999"
"449215","174030076999","FONTSPRING  *46072734","5045"
"449215","174030076999","VIRTUALTRAINING","5045"
"449215","174030076999","CARBONMADE","7299"
"449215","174030076999","DNDBEYOND.CO*DDB CONTE","5734"
"00000001297","174030076999","HEROKU *FEB-24642390","7372"
"449215","174030076999","PAYPAL *NAMECHEAP","4816"
"449215","174030076999","BIG CARTEL","5045"
"449215","174030076999","PAYPAL *FEDERALRESE","9399"
"449215","174030076999","FIGHT COLORECTAL CANCER","8398"
"449215","174030076999","PAYPAL *VIMEO INC","4899"
"00000001297","174030076999","HEROKU *FEB-24189220","7372"
"00000001297","174030076999","HEROKU *FEB-24711005","7372"
"449215","174030076999","HEROKU *FEB-24351833","7372"
"449215","174030076999","ROCKETREACH LLC","5045"
"449215","174030076999","PAYPAL *CUPOJOESLG","5993"
"00000001297","174030076999","TYPEFRAG.COM*","5045"
"449215","174030076999","MACUPDT*DAISYDISK","5045"
"00000002950","174030076999","STIMSOCIAL.COM        7700 EASTPORT PARKWAY                           3025442096   19901     DE USA","7299"
"00000001297","174030076999","EVERLANE INC*114110373","5699"
"449215","174030076999","MI6 CONFIDENTIAL","5968"
"449215","174030076999","LIVEBOOKS","7372"
"449215","174030076999","YCHARTS","7372"
"449215","174030076999","MUSTHAVEMENUS","5045"
"00000001297","174030076999","MYOPPORTUNITY.COM","5045"
"449215","174030076999","HEROKU *FEB-24584323","7372"
"00000001297","174030076999","VYDIA, INC.","7299"
"449215","174030076999","HEMMINGS MOTOR NEWS, INC.","7299"
"449215","174030076999","APPTOTO","5045"
"449215","174030076999","PAYPAL *PORKBUN LLC","4816"
"00000001297","174030076999","KADENCE THEMES","5045"
"449215","174030076999","PAYPAL *INTERNATION","7911"
"00000001297","174030076999","HEROKU *FEB-24555534","7372"
"449215","174030076999","SQUADUP*THEFITEXPO LOS","7922"
"449215","174030076999","PROTRAININGS, LLC","8299"
"449215","174030076999","DATHORN INCORPORATED","7299"
"449215","174030076999","EVERY MOTHER","7277"
"449215","174030076999","EVERLANE INC*880176275","5699"
"449215","174030076999","PAYPAL *NAMESILOLLC","7372"
"449215","174030076999","PAYPAL *YANDY LLC","5621"
"00000001297","174030076999","ASTRO-CHARTS","7299"
"00000001297","174030076999","PRAGMATIC PROGRAMMERS","5999"
"449215","174030076999","BITRIX, INC.","5045"
"449215","174030076999","ONLINE SALES PRO","5045"
"449215","174030076999","HEROKU *FEB-24558314","7372"
"00000001297","174030076999","ENOTES.COM","8299"
"449215","174030076999","CHARGEBEE.COM","5045"
"449215","174030076999","PAYPAL *DREAMHOST","4816"
"449215","174030076999","TRAINERROAD.COM","5734"
"00000001297","174030076999","TRAININGIQ","5969"
"449215","174030076999","PAYPAL *TINDIE","5732"
"00000001297","174030076999","CREATIVELIVE INC","8299"
"449215","174030076999","BLURB INC DBA MAGCLOUD","7299"
"00000001297","174030076999","EMASTERED.COM","7372"
"449215","174030076999","SEEKING ALPHA","5734"
"449215","174030076999","THE BARNACLE INN","7011"
"449215","174030076999","DATA24-7.COM","5734"
"449215","174030076999","PAYPAL *WAVES INC","5734"
"449215","174030076999","PAYPAL *KEVINADAMSP","7221"
"449215","174030076999","HEROKU *FEB-24315694","7372"
"449215","174030076999","AROUNDTHERINGS","5994"
"00000001297","174030076999","ADESPRESSO, INC.","5045"
"00000001297","174030076999","MUSICNOTES.COM","5733"
"449215","174030076999","PAYPAL *PEAK DESIGN","5946"
"449215","174030076999","HEROKU *FEB-24355531","7372"
"449215","174030076999","FONTSPRING  *46433103","5045"
"449215","174030076999","GIFT BASKETS*OVERSEAS","5999"
"00000002950","174030076999","PLUGIN ALLIANCE       7700 EASTPORT PARKWAY                           8312222105   95060     CA USA","5045"
"449215","174030076999","HUGEDOMAINS.COM","4816"
"449215","174030076999","PAYPAL *BUYOLYMPUS","5946"
"449215","174030076999","SLATE DIGITAL","5045"
"449215","174030076999","COMPANY*LUMINESSENCE","5999"
"449215","174030076999","T.MILLY TV","8299"
"449215","174030076999","SOCIETY OF PETROLEUM ENGI","8398"
"00000001297","174030076999","PAYPAL *APPSUMO","4816"
"449215","174030076999","FUNDY SOFTWARE INC","5045"
"00000001297","174030076999","ASPNIX","7372"
"00000001297","174030076999","ABSTRACT","5045"
"449215","174030076999","NURSEPROPACK.COM","5999"
"449215","174030076999","CITY PASS, INC.","7922"
"00000001297","174030076999","ECONOMIST GMAT TUTOR","5734"
"449215","174030076999","IAAER","8398"
"449215","174030076999","PAYPAL *2ND SWING","5941"
"449215","174030076999","HEROKU *FEB-24692663","7372"
"449215","174030076999","HEROKU *FEB-24650958","7372"
"449215","174030076999","BETTERHELP  *DR.ARTHUR","7277"
"449215","174030076999","THE FEIRING LINE NEWSLETT","5968"
"449215","174030076999","PAYPAL *CITYPASSINC","7929"
"00000001297","174030076999","PEPO, INC.","4816"
"00000001297","174030076999","REDSHIFT SPORTS","5999"
"00000002950","174030076999","WARRIOR TRADING       7700 EASTPORT PARKWAY                           8025851740   95695     CA USA","7299"
"00000001297","174030076999","FIGHT COLORECTAL CANCE","8398"
"449215","174030076999","CREATIVELIVE INC","8299"
"00000001297","174030076999","CAR RENTAL 8","7512"
"449215","174030076999","PAYPAL *APPSUMO","4816"
"449215","174030076999","PAYPAL *STAFHOUSESD","8249"
"449215","174030076999","PAYPAL *OWM","4816"
"449215","174030076999","COURSRA*AH9H3J60SG7QG9","8299"
"00000001297","174030076999","POWR INC","5045"
"449215","174030076999","HEROKU *FEB-24640318","7372"
"449215","174030076999","ABSTRACT","5045"
"00000001297","174030076999","PUMPONE","7299"
"449215","174030076999","PILATES ANYTIME","5815"
"449215","174030076999","HEROKU *FEB-24576587","7372"
"00000001297","174030076999","GITHUB.COM","5045"
"449215","174030076999","CODEGUARD","5045"
"00000001297","174030076999","HEROKU *FEB-24422378","7372"
"449215","174030076999","COURSRA*4A3RD7SR611R32","8299"
"00000001297","174030076999","FACE YOGA METHOD","7299"
"449215","174030076999","HEROKU *FEB-24482703","7372"
"449215","174030076999","HEROKU *FEB-24216618","7372"
"449215","174030076999","BITNAMI","7372"
"00000001297","174030076999","PROOFHUB","5045"
"00000001297","174030076999","ASSEMBLA, INC.","5045"
"449215","174030076999","NORMA KAMALI INC.","5999"
"00000001297","174030076999","MARCUCIO.COM","5734"
"449215","174030076999","INCASE","5732"
"449215","174030076999","MUSICNOTES.COM","5733"
"449215","174030076999","SPLICE","5045"
"449215","174030076999","PAYPAL *ORDER","7311"
"449215","174030076999","HEROKU *FEB-24159983","7372"
"449215","174030076999","PAYPAL *EVERYTHING WING","5734"
"449215","174030076999","NETLIFY","5045"
"449215","174030076999","PAMELA LOVE JEWELRY LLC","5944"
"449215","174030076999","KNITCRATE LLC","5999"
"449215","174030076999","BOKWA, LLC","7299"
"449215","174030076999","SMILE TRAIN INC.","8398"
"00000001297","174030076999","PHOTOSHELTER","5045"
"449215","174030076999","COMMERCE INSPECTOR","5045"
"00000001297","174030076999","SONGSTERR","5733"
"00000001297","174030076999","HEROKU *FEB-24305706","7372"
"449215","174030076999","LATESHIPMENT.COM","5045"
"449215","174030076999","COMPTIA","8398"
"00000001297","174030076999","CARBONMADE","7299"
"449215","174030076999","PAYPAL *VERBLING","5331"
"449215","174030076999","YELLOWCABNYCTAXI.COM","4121"
"00000002950","174030076999","NATIVE AD BUZZ        7700 EASTPORT PARKWAY                           4089155237   83002     WY USA","5045"
"449215","174030076999","FLICKR *PRO 1 YEAR","7299"
"449215","174030076999","GIVEWELL","8398"
"449215","174030076999","WEBHR","5045"
"449215","174030076999","PAYPAL *WALMART COM","5310"
"449215","174030076999","PAYPAL *ZENNIOPTICL","8043"
"449215","174030076999","GUITAR TRICKS INC.","5734"
"00000001297","174030076999","FIVERR *","7299"
"449215","174030076999","CAR RENTAL 8","7512"
"00000001297","174030076999","INFOGRAM.COM","5045"
"449215","174030076999","HEROKU *FEB-24405165","7372"
"00000001297","174030076999","RUSSIANFLORA*FLOWERS","5999"
"449215","174030076999","PAYPAL *CHRONO GG","7994"
"449215","174030076999","ORANGED SOFTWARE","5734"
"449215","174030076999","PAYPAL *MENISCUSAUD","5732"
"449215","174030076999","PAYPAL *GRAMMARLY W0OZW","5734"
"449215","174030076999","COURSRA*8OXWA02POG1BSF","8299"
"449215","174030076999","SECURITYMETRICS, INC.","7299"
"449215","174030076999","STARSSTRIPES*ACCESS","8398"
"449215","174030076999","BETTERHELP  *UNITED KI","7277"
"449215","174030076999","PROZ.COM, INC.","7399"
"449215","174030076999","BATTERYBAR PRO","5045"
"449215","174030076999","DROIDTV","5045"
"449215","174030076999","METALOCATOR/FATICA CNS","5045"
"449215","174030076999","PAYPAL *TPI PARTS","5533"
"449215","174030076999","HEROKU *FEB-24357401","7372"
"449215","174030076999","METRILO","5045"
"00000001297","174030076999","LATESHIPMENT.COM","5045"
"449215","174030076999","RENAISSANCE CAPITAL","7392"
"00000001297","174030076999","INDIE MERCHANDISING LL","5999"
"449215","174030076999","PAYPAL *FLIGHT1","5734"
"449215","174030076999","HEROKU *FEB-24056967","7372"
"449215","174030076999","PAYPAL *VULTRHOLDIN","4816"
"449215","174030076999","FABULOUS.COM","7372"
"00000001297","174030076999","DIRECTNIC.COM","7372"
"449215","174030076999","PAYPAL *ANTHROPOLOG","5621"
"449215","174030076999","RESCUETIME","5045"
"00000001297","174030076999","CMP*CYBERSTEP TOREBA","5045"
"00000001297","174030076999","PP*HUMBLEBUNDL HUMBLEB","7994"
"449215","174030076999","PAYPAL *MASSDROP","5311"
"00000001297","174030076999","WARRIOR TRADING","7299"
"00000001297","174030076999","NET NANNY,CONTENTWATCH","5045"
"449215","174030076999","RUSSIANFLORA*FLOWERS","5999"
"00000001297","174030076999","PLUGIN ALLIANCE","5045"
"00000001297","174030076999","FENG CORP","5045"
"00000001297","174030076999","SERVMASK INC.","5045"
"449215","174030076999","FLYWHEEL","5045"
"00000001297","174030076999","PRINTED MATTER, INC.","8398"
"449215","174030076999","HEROKU *FEB-24381086","7372"
"449215","174030076999","PAYPAL *SPLICE","5734"
"449215","174030076999","HEROKU *FEB-24343605","7372"
"449215","174030076999","FADERPRO, INC.","7299"
"449215","174030076999","STRINGJOY","5733"
"00000001297","174030076999","INCASE","5732"
"449215","174030076999","ONEOEIGHT","7299"
"449215","174030076999","HEROKU *FEB-24470090","7372"
"00000001297","174030076999","GAPPS EXPERTS INC","5045"
"449215","174030076999","ADESPRESSO, INC.","5045"
"449215","174030076999","TEND ISECURITYPLUS.COM","5045"
"449215","174030076999","CLICKUP","5045"
"00000001297","174030076999","CODEGUARD","5045"
"449215","174030076999","SOI DOG*DONATE 020200","8398"
"00000001297","174030076999","LWN.NET","7372"
"449215","174030076999","TIX*FUTUREOFFINTECH19","7299"
"00000001297","174030076999","PAYPAL *NAMECHEAP","4816"
"449215","174030076999","HEROKU *FEB-24629331","7372"
"449215","174030076999","PAYPAL *GUITARZOOM","8249"
"449215","174030076999","TEEPUBLIC","5999"
"449215","174030076999","PAYPAL *FITNESSBLEN","5941"
"449215","174030076999","BLOODREALM","7994"
"449215","174030076999","PAYPAL *IHERB LLC","5499"
"449215","174030076999","BETTERHELP  *LAMB CHRI","7277"
"449215","174030076999","PAYPAL *SIGHTSEEING","4722"
"449215","174030076999","GEOPARADISE","7929"
"449215","174030076999","MYOPPORTUNITY.COM","5045"
"449215","174030076999","HEROKU *FEB-24568908","7372"
"00000001297","174030076999","HEROKU *FEB-24354006","7372"
"449215","174030076999","PAYPAL *ACCUSTATSVI","5735"
"449215","174030076999","PAYPAL *COCOMATS","5533"
"00000002950","174030076999","DOMESTIKA INTERACTIVA 7700 EASTPORT PARKWAY                           4159940789   94107     CA USA","8299"
"449215","174030076999","PAYPAL *SUBMITTABLE","4816"
"449215","174030076999","ASSEMBLA, INC.","5045"
"00000001297","174030076999","SQUADUP*THEFITEXPO LOS","7922"
"449215","174030076999","EVERLANE INC*270801255","5699"
"449215","174030076999","ZALTV  *ACCOUNT CREDIT","5045"
"449215","174030076999","VEDICPANDITS","5045"
"449215","174030076999","LCP360","5817"
"449215","174030076999","PAYPAL *RALPHLAUREN","5611"
"449215","174030076999","PAYPAL *VIABOX COM","7399"
"449215","174030076999","GITHUB.COM","5045"
"449215","174030076999","PRAGMATIC PROGRAMMERS","5999"
"00000001297","174030076999","DNDBEYOND.CO*DDB CONTE","5969"
"00000001297","174030076999","ALL OUT ACTION FUND","8398"
"00000001297","174030076999","EVERLANE INC*585276327","5699"
"449215","174030076999","PAYPAL *DOBRICKI","7996"
"449215","174030076999","PAYPAL *RECORDSMAIL","5735"
"449215","174030076999","PAYPAL *GINGERKRANT","7392"
"449215","174030076999","ZWIFT, INC.","5045"
"449215","174030076999","PAYPAL *HOLLYWOODME","5999"
"00000001297","174030076999","HEROKU *FEB-24432286","7372"
"449215","174030076999","PAYPAL *TEEHUB.SHO","5611"
"449215","174030076999","PAYPAL *NATURECONSE","8398"
"449215","174030076999","PAYPAL *FOS","5735"
"449215","174030076999","PAYPAL *FANGAMER","5945"
"00000001297","174030076999","TIBI LLC","5999"
"449215","174030076999","PAYPAL *CONCEAL EXP","5999"
"449215","174030076999","PAGODA BOX INC.","7372"
"00000001297","174030076999","LIBERATED SYNDICATION","5734"
"449215","174030076999","TEAMGANTT","5045"
"00000001297","174030076999","TEND ISECURITYPLUS.COM","5045"
"00000002950","174030076999","RUSSIANFLORA*FLOWERS  7700 EASTPORT PARKWAY                           6173267919   02476     MA USA","5999"
"449215","174030076999","DDBEYOND","5734"
"00000001297","174030076999","NEWERA * CAPS","5611"
"00000001297","174030076999","WOOBOX","5045"
"449215","174030076999","PAYPAL *ZUMIEZ COM","5611"
"00000001297","174030076999","COURSRA*6NO6ULLOG3L27Q","8299"
"449215","174030076999","VIRB.COM","7372"
"449215","174030076999","PAYPAL *JOOMSHAPER","7372"
"449215","174030076999","CURABLE INC.","8099"
"00000001297","174030076999","TRELLO.COM, ATLASSIAN","5045"
"449215","174030076999","PAYPAL *DANS DEPOT","5945"
"00000001297","174030076999","AMERICAN FOUNDATION FO","8398"
"00000001297","174030076999","EVERLANE INC*432522081","5699"
"449215","174030076999","PAYPAL *EXPRESSVPN","4816"
"449215","174030076999","FIGURE 53","5045"
"449215","174030076999","VECTEEZY    * PREMIUM","7311"
"449215","174030076999","PRANK DIAL","7299"
"449215","174030076999","HEROKU *FEB-24505993","7372"
"00000001297","174030076999","TSHEETS","5045"
"00000001297","174030076999","PROTOIO INC","5045"
"449215","174030076999","PAYPAL *MAGICONLINE","5945"
"449215","174030076999","LABELIZERS.COM","5921"
"449215","174030076999","COURSRA*9F8EXVH40R6S0P","8299"
"449215","174030076999","HIGHER GROUND LEARNING","8299"
"449215","174030076999","HEROKU *FEB-24595942","7372"
"449215","174030076999","HEROKU *FEB-24606315","7372"
"00000001297","174030076999","TUBEBUDDYCOM*","5045"
"449215","174030076999","PAYPAL *USCUSTOMSBO","9399"
"449215","174030076999","JOURNAL OF DRUGS IN DERMA","5192"
"449215","174030076999","SKYROAM, INC.","4816"
"449215","174030076999","IBOOM MEDIA LLC","7299"
"449215","174030076999","HEROKU *FEB-24239689","7372"
"00000001297","174030076999","STREAMLABS  *PROEFFECT","5045"
"00000001297","174030076999","FLYWHEEL","5045"
"449215","174030076999","BIZNESSAPPS","5045"
"449215","174030076999","PAYPAL *RETRO","5533"
"449215","174030076999","PAYPAL *THREADS  ST","5533"
"00000001297","174030076999","DNDBEYOND.CO*DDB CONTE","5734"
"00000001297","174030076999","PAYPAL *RIGNET INC","4814"
"449215","174030076999","TOMORROW'S NUTRITION","5499"
"449215","174030076999","HEROKU *FEB-24212401","7372"
"00000001297","174030076999","BONANZA.COM","5045"
"449215","174030076999","PAYPAL *B H PHOTO","5946"
"449215","174030076999","HEROKU *FEB-24691106","7372"
"449215","174030076999","LIBERATED SYNDICATION","5734"
"449215","174030076999","PAYPAL *LIMITEDRUNG","5331"
"00000001297","174030076999","HARVEST","5045"
"00000001297","174030076999","BITRIX, INC.","5045"
"449215","174030076999","WWWUCRAFTCOM*UCRAFT-ES","5045"
"449215","174030076999","PAYPAL *STAT-EASE","7372"
"449215","174030076999","PAYPAL *BORDERTOURS","4722"
"449215","174030076999","BURDASTYLE","5949"
"449215","174030076999","HEROKU *FEB-24237794","7372"
"449215","174030076999","HEROKU *FEB-24661497","7372"
"00000001297","174030076999","HEROKU *FEB-24711924","7372"
"00000002950","174030076999","MUSICNOTES.COM        7700 EASTPORT PARKWAY                           8009444667   53717     WI USA","5733"
"449215","174030076999","CMX*WWW.COMIXOLOGY.COM","5999"
"00000001297","174030076999","FIGURE EIGHT","5045"
"449215","174030076999","HEROKU *FEB-24449980","7372"
"449215","174030076999","PAYPAL *ROCKAUTOLLC","5533"
"449215","174030076999","PAYPAL *HOOKGRIP","5641"
"449215","174030076999","USERVOICE","7399"
"449215","174030076999","ELLUSIONIST.COM INC","5999"
"449215","174030076999","PAYPAL *TACTRIX INC","5734"
"449215","174030076999","POLOLU CORPORATION","5732"
"449215","174030076999","COURSRA*63XFI0ADKNDT2O","8299"
"449215","174030076999","TOURS4FUN","4722"
"00000001297","174030076999","PAYPAL *UNITEDSOL","4816"
"449215","174030076999","PAYPAL *WESTERNBIDI","5099"
"449215","174030076999","SHORTSWITCH SHORT URLS","7299"
"00000001297","174030076999","1STDIBS.COM, INC.","5999"
"449215","174030076999","PUREMIX","8299"
"449215","174030076999","TIX*TIMES EVENTS","7299"
"449215","174030076999","KNOEMA","5734"
"449215","174030076999","BETTERHELP  *JORDAN RE","7277"
"449215","174030076999","PAYPAL *STRIKINGLY","4816"
"449215","174030076999","HEROKU *FEB-24623680","7372"
"00000001297","174030076999","EXTENSI*SUITCASE FUSIO","7372"
"449215","174030076999","HEROKU *FEB-24596498","7372"
"00000001297","174030076999","PAYPAL *ARABMATCHMAKIN","7273"
"00000001297","174030076999","HEROKU *FEB-24518806","7372"
"449215","174030076999","HEROKU *FEB-24091277","7372"
"00000001297","174030076999","HEROKU *FEB-24639045","7372"
"449215","174030076999","INTERNATIONAL GEM SOCIETY","5045"
"449215","174030076999","PAYPAL *PUREMIX","5817"
"00000001297","174030076999","ASTRO-CHARTS","5969"
"00000001297","174030076999","SAPLINGLEARN*HOMEWORK","8299"
"00000001297","174030076999","MARMALEAD, LLC","5045"
"00000001297","174030076999","FLICKR *PRO 2 YEARS","7299"
"00000001297","174030076999","DIGICEL INC.,","5045"
"449215","174030076999","FLEXJOBS.COM","8699"
"449215","174030076999","VIAWAY *WORLD TV FREE","5815"
"449215","174030076999","PAYPAL *AOEYEWEARIN","5699"
"00000001297","174030076999","GLOBAL UNDERWATER EXPL","8398"
"449215","174030076999","AMERICAN CONTRACT BRIDGE","8398"
"449215","174030076999","SEVIER RIVER RANCH & CATT","7299"
"00000001297","174030076999","HOVER","7372"
"449215","174030076999","YAHOO SMALL BUSINESS","4816"
"449215","174030076999","PAYPAL *2CHECKOUTCO  EC","4816"
"00000001297","174030076999","STREAMLABS  *PROEFFECT","5969"
"00000001297","174030076999","THREADLESS","5691"
"00000001297","174030076999","THE INN AT PAW PAW, LL","7011"
"00000001297","174030076999","MUSTHAVEMENUS","5045"
"00000001297","174030076999","TRAININGIQ","5045"
"00000001297","174030076999","HEROKU *FEB-24574286","7372"
"00000001297","174030076999","APPTOTO","5045"
"00000001297","174030076999","DATACAMP INC.","7299"
"00000001297","174030076999","M3SERVER, INC","7372"
"449215","174030076999","HNSTOOLS.COM","5999"
"00000001297","174030076999","HEROKU *FEB-24165192","7372"
"449215","174030076999","FINEARTSTUDIOONLINE","7372"
"449215","174030076999","HEROKU *FEB-24391932","7372"
"00000001297","174030076999","OLIBERTE","5661"
"449215","174030076999","PAYPAL *KANE CREEK","7011"
"449215","174030076999","SUBMITHUB, INC.","7299"
"449215","174030076999","HEROKU *FEB-24401121","7372"
"449215","174030076999","SKIFT, INC.","2741"
"449215","174030076999","HEROKU *FEB-24631372","7372"
"00000001297","174030076999","BIG CARTEL","5045"
"00000002950","174030076999","GO OVERSEAS, INC.     7700 EASTPORT PARKWAY                           4157966456   94704     CA USA","7311"
"00000002950","174030076999","JIMMY LION            7700 EASTPORT PARKWAY                           9178608976   10010     NY USA","5999"
"449215","174030076999","HEROKU *JAN-23830004","7372"
"00000001297","174030076999","POSIT SCIENCE CORPORAT","5734"
"449215","174030076999","PAYPAL *JUULWRAPS","5943"
"449215","174030076999","PAYPAL *DYN.COM","8999"
"449215","174030076999","ENOTES.COM","8299"
"00000002950","174030076999","COURSRA*83VEH9M8HZDONL7700 EASTPORT PARKWAY                           6502657649   94041     CA USA","8299"
"449215","174030076999","PAYPAL *TWLT TIME","5735"
"449215","174030076999","HOVER","7372"
"00000001297","174030076999","HEROKU *FEB-24435476","7372"
"449215","174030076999","THE DJ POOL LLC","5733"
"449215","174030076999","PAYPAL *JOYFULNOISE","5735"
"449215","174030076999","GETDPD.COM","5045"
"449215","174030076999","PAYPAL *BETTERWORLD","5942"
"00000001297","174030076999","WWW.REPRESENT.COM","5691"
"449215","174030076999","PAYPAL *EMBCOMP.NET","5732"
"449215","174030076999","PAYPAL *WELCOME","7011"
"449215","174030076999","PAYPAL *REVERBCOMLL","5931"
"449215","174030076999","SQUADUP*TRIBECAFILMTIX","7922"
"449215","174030076999","IDITAROD TRAIL COMMITTEE,","8398"
"449215","174030076999","PUSHBOTS, INC.","5045"
"00000001297","174030076999","EVERLANE INC*440042072","5699"
"449215","174030076999","ACTIVECAMPAIGN, INC.","5045"
"00000002950","174030076999","CMP*CYBERSTEP TOREBA  7700 EASTPORT PARKWAY                           6504012225   95112     CA USA","5045"
"449215","174030076999","PRICELABSINC*REPORTING","5045"
"00000002950","174030076999","ACTIVECAMPAIGN, INC.  7700 EASTPORT PARKWAY                           7733602270   60601     IL USA","5045"
"449215","174030076999","PAYPAL *JRIVER INC","4816"
"449215","174030076999","HERO FORGE","5999"
"449215","174030076999","PIZAP","5045"
"449215","174030076999","PAYPAL *PIROFLIPRC","5945"
"00000001297","174030076999","MUNIMOBILE-SFMTA","4111"
"00000001297","174030076999","PAYPAL *SHOPATRONIN","4816"
"00000001297","174030076999","FONTSPRING  *46383114","5045"
"449215","174030076999","JAMKAZAM, INC.","5045"
"449215","174030076999","INSIDE TRACKER","8099"
"449215","174030076999","DJ POOL*RECORD POOL","5733"
"449215","174030076999","PAYPAL *COLOURPOPCO","5977"
"449215","174030076999","LUCKYORANGE.COM","5045"
"00000001297","174030076999","MANAGEBYSTATS LLC","5045"
"449215","174030076999","MOTIONDEN","5045"
"449215","174030076999","FLICKR *PRO 1 MONTH","7299"
"449215","174030076999","COURSRA*5VPAXIR0640F6H","8299"
"449215","174030076999","BETTERHELP  *DAVIDSON","7277"
"449215","174030076999","SCACUF FOUNDATION","8398"
"449215","174030076999","DIRECTNIC.COM","7372"
"00000001297","174030076999","TOURS4FUN","4722"
"00000001297","174030076999","HEROKU *FEB-24813671","7372"
"449215","174030076999","RIDE WITH GPS","5045"
"00000001297","174030076999","SIFTER","5045"
"449215","174030076999","HEROKU *FEB-24803912","7372"
"449215","174030076999","PAYPAL *ABERCROMBIE","5611"
"00000001297","174030076999","ZOOMORPHIX SYSTEMS","8999"
"00000001297","174030076999","COURSRA*142P0AVDBBLZI1","8299"
"00000001297","174030076999","EVERLANE INC*801007880","5699"
"00000001297","174030076999","LEADPAGES","5045"
"449215","174030076999","AUTHORITYLABS - UI","5045"
